"Date";"Value"
"06/01/2021";121,78582
"07/01/2021";118,84
"08/01/2021";118,84
"09/01/2021";118,54086
"10/01/2021";119,535
"11/01/2021";119,535
"12/01/2021";119,3588
"01/01/2022";120,565
"02/01/2022";120,565
"03/01/2022";120,39819
"04/01/2022";118,456
"05/01/2022";118,456
"06/01/2022";118,20207
"07/01/2022";117,726
"08/01/2022";117,726
"09/01/2022";117,43832
"10/01/2022";117,526
"11/01/2022";117,526
"12/01/2022";117,36678
"01/01/2023";115,808
"02/01/2023";115,808
"03/01/2023";115,58614
"04/01/2023";117,77
"05/01/2023";117,77
"06/01/2023";117,44355
"07/01/2023";118,592
"08/01/2023";118,592
"09/01/2023";118,13897
"10/01/2023";120,16
"11/01/2023";120,16
"12/01/2023";119,61944
"01/01/2024";120,83
"02/01/2024";120,83
"03/01/2024";120,47631
"04/01/2024";120,04
"05/01/2024";120,04
"06/01/2024";119,50314
"07/01/2024";120,731
"08/01/2024";120,731
"09/01/2024";120,17172
"10/01/2024";121,85
"11/01/2024";121,85
"12/01/2024";121,43633
"01/01/2025";120,808
"02/01/2025";120,808
"03/01/2025";120,54515
"06/01/2025";118,78171
"09/01/2025";121,02875
"12/01/2025";122,56815
"03/01/2026";122,77209
